text_nonstop,text_lemma,text,length_text_nonstop,length_text_lemma,length_text,label,count_word_text_nonstop,count_word_text_lemma,count_word_text
cara vive outro mundo nao mundo real refugiados sao vivem favelas vizinhas fortalezas,caro viver outro mundo nao mundo real refugiado sao viver favela vizinho fortaleza,nomeusuario o cara vive em outro mundo nao no mundo real refugiados sao os que vivem nas favelas vizinhas as suas fortalezas,85,82,124,1,19,19,20
incompetentes nao cuidam povo brasileiro poucos refugiados aqui estao,incompetente nao cuidar povo brasileiro pouco refugiado aqui estao,nomeusuario estes incompetentes nao cuidam nem do povo brasileiro e nem dos poucos refugiados que aqui estao,69,66,108,0,20,20,20
cumpanhero quebraram todas regras,cumpanhero quebrar todo regra,nomeusuario os cumpanhero quebraram todas as regras,33,29,51,0,17,16,18
nao conseguem pensar sentido lato alem ve frente olhos,nao conseguir pensar sentido lato aler ve frente olho,nomeusuario e isso nao conseguem pensar no sentido lato para alem do que se ve a frente dos olhos,54,53,97,0,19,18,20
bom dia macaco branco haha,bom dia macaco branco haha,nomeusuario bom dia macaco branco haha,26,26,38,1,11,11,14
imagino ow mandei fazer body opressor pra duda hahahaha,imaginar ow mandei fazer body opressor pra duda hahahaha,nomeusuario imagino ow mandei fazer um body opressor pra duda hahahaha,55,56,70,0,19,19,19
parabens brou menina bom demais,parabem brar menina bom demais,nomeusuario parabens brou menina e bom demais,31,30,45,0,13,12,13
parabens irmao saude paz amem,parabem irmao saude paz amir,nomeusuario parabens irmao saude e paz amem,29,28,43,0,14,13,14
ah convivendo apenas comigo fds precisava disso pensando mtas coisas trabalhando meio disso rs,ah conviver apenas comigo fds precisar de isso pensar mta coisa trabalhar meio de isso rs,nomeusuario ah convivendo apenas comigo esse fds precisava disso pensando em mtas coisas e trabalhando no meio disso rs,94,89,119,0,19,19,20
sono rs cheiros tb adorei,sono rs cheiro tb adorei,nomeusuario e o sono rs cheiros tb adorei,25,24,41,0,13,13,15
oww linda trabalho amanha =,oww linda trabalho amar =,nomeusuario oww linda trabalho amanha = do,27,25,42,0,14,14,17
baummm hein coisa gostosa ando reflexiva enmm paz tb mto bom,baummm hein coisa gostoso ar reflexiva enmm paz tb mto bom,nomeusuario que baummm hein tem coisa mais gostosa eu ando reflexiva mas enmm paz tb mto bom,60,58,92,0,22,21,23
nada faco basico hahaha,nada faco basico hahaha,nomeusuario sou nada faco o basico hahaha,23,23,41,0,11,11,15
tai otima sobremesas doces bolos,taier otimo sobremeso doce bolo,nomeusuario tai sou otima com sobremesas doces bolos,32,31,52,0,13,13,15
