text,label
nomeusuario o cara vive em outro mundo nao no mundo real refugiados sao os que vivem nas favelas vizinhas as suas fortalezas,1
nomeusuario estes incompetentes nao cuidam nem do povo brasileiro e nem dos poucos refugiados que aqui estao,0
nomeusuario os cumpanhero quebraram todas as regras,0
nomeusuario e isso nao conseguem pensar no sentido lato para alem do que se ve a frente dos olhos,0
nomeusuario bom dia macaco branco haha,1
nomeusuario imagino ow mandei fazer um body opressor pra duda hahahaha,0
nomeusuario parabens brou menina e bom demais,0
nomeusuario parabens irmao saude e paz amem,0
nomeusuario ah convivendo apenas comigo esse fds precisava disso pensando em mtas coisas e trabalhando no meio disso rs,0
nomeusuario e o sono rs cheiros tb adorei,0
nomeusuario oww linda trabalho amanha = do,0
nomeusuario que baummm hein tem coisa mais gostosa eu ando reflexiva mas enmm paz tb mto bom,0
nomeusuario sou nada faco o basico hahaha,0
nomeusuario tai sou otima com sobremesas doces bolos,0
nomeusuario nao deixe as lembrancas e saudades te minarem enfrente ouca musicas essa e linda msm conhece the corrs,0
nomeusuario ouvindo a musica preciso de vc excelente linda foda pq to separando pqp,0
nomeusuario cedemos ao encanto e caimos de boca meu caro,0
nomeusuario perfume pra mao jovem amantepra mao cappice,1
nomeusuario estimo que se foda sera mais profissional,1
nomeusuario bom dia sapatao da minha vida,1
nomeusuario falei isso desde ontem kkkk paginaweb,0
nomeusuario nomeusuario isso n ta errado mas epesquisa de gente burra a mulher trabalha menos que o homem,1
nomeusuario nomeusuario e que tal uma linha de bones paginaweb,0
93 0911 jhu bom viado mais lindo 93 0911 dj luizinho bom dia sapatao mais gostoza,1
enem questao 1 oooooooooooooooooooooooooooooooooooooooooooooo sometimes vida de gado ana julia pa gangnam style,0
extra imagine se fosse um branco fazendo isso com um muculmano seria noticia no pais inteiro paginaweb,1
extraoficial o terrorista do louvre e um egipcio de 29 anos que chegou na franca mes passado equipe paginaweb,0
futebol escolinha da adc santana adc e pedreira na copa rio branco em amparo paginaweb,0
1840 max vai tomar no teu cu entao 1840 max sua gorda feia 1840 max meu amor por voce 1841 leticia eu sou gorda maxwell,1
e la em casa paginaweb,0
nomeusuario nomeusuario deixa eu adivinharpessima relacao com o pai gorda feia sequer assediada por alguemacho que os dois hein,1
aaaaaaa eu quero falar no meu trabalho sobre refugiados mas nao sei se vou conseguir,0
aaaaaa turma de 9 homens e eu o prof fala de cabo sapatao conector femea femea e todo mundo olha pra mim,1
a afronta aos portugueses nao para paginaweb pnr portugal imigracao paginaweb,0
a agencia livead sao paulo adquiriu 40 exemplares do livro meuamigosecreto feminismo alem das redes para paginaweb,0
a alemanha tornou a sentir os beneficios dos imigrantes da invasao islamica paginaweb,1
a 1a mao foi no dia dos namoradosa 2a calha no dia da mulher o benficadortmund foi criado para testar os relacionamentos dos benfiquistas,0
a ameaca do terrorismo radical islamico e bem real veja o que acontece na europa e no oriente medio os tribunais paginaweb,0
a ampla maioria sao uns retardados so falam merda e so ganham fama porque os jovens sao como eles debeis mentais paginaweb,1
nomeusuario ora bem ja esta a perder a linha o verniz dos tolerantes acaba sempre por estalar,1
a atencao finalmente esta voltada aos infiltrados desocupados eles serao pegos paginaweb,0
a avaliar pela quantidade de malta conhecida que morreu em 2016 o in memoriam deste ano e coisa para durar umas 9 horitas na boa oscars,1
abaixo apenas alguns exemplos de manifestacao a favor do direito ao orgulho hetero,0
a bazofia de jesus e tao grande que para nao assumir os seus erros ate abafa o palhinha,1
abdnsndnns ela vai sair de burca pra nao mostrar a cara nao quero ninguem encima dela paginaweb,1
aberracao e um adulto impor as criancas a flacida relacao da ideologia de genero nada e o q parece ser naoaideologiadegenero,1
abertas as inscricoes iii festival de danca que acontecera em abril na estacao cabo branco paginaweb,0
abismo da desigualdade e injustica nomeusuario paginaweb renovarportugal portugal,0
a bomba encontrada na nazare foi logo detonada ja a do panama esta quase ha um ano no expresso a espera da brigada de minas e armadilhas,0
aborto e crime repugnante contra uma vida tao fragil e indefesa paginaweb,0
abri a janela tava uma gorda no apartamento da frente olhando pra baixo e chorando acho que caiu a empadinha dela,1
nomeusuario heueheueheu eu fiquei achando que o branco era arroz tb mas nao faco ideia e olha que gosto de acai,0
a burra da mulher esqueceu o celular no onibus e ta chorando aqui no busao queria nao rir,1
acaba de chegar a redacao da radio angola a seguinte informacao pedro gonga ja estou em liberdade mas nao foi paginaweb,0
acabamos de adicionar mais uma data a tour de overdose de tourette 11 fev covilha bilhetes aqui paginaweb,0
acabamos de adicionar mais uma data a tour overdose de tourette 24 fev ericeira bilhetes na fnac e aqui paginaweb,0
acabei de comemorar o dia internacional da mulher lavando a louca diadamulher,0
acabei de fazer esses casos para minha cunhada vascarpim minhas ferias estao rendendo arte rsss paginaweb,0
acabei de ouvir uma cigana dizer q os chineses sao um povo sujo e sem higiene q vive e dorme em qualquer lado o cliche morreu hj as 16h09,1
acabei de ouvir um casal com rastas dizer isto as pessoas passam por nos e dizem que cheiramos malpffffelas e que cheiram a champo,0
acabei de pagar 20 reais em um carregador pq esqueci o meu ja comecando o dia se sentindo a mulher mais burra do brasil,1
acabo de nomear o general hr mcmaster como conselheiro de seguranca nacional paginaweb,0
a cada feliz dia da mulher menos pra feminista eu vejo o quao burra e a sociedade,1
a cadeira com o copo certamente e do lula paginaweb,1
a caminho da base militar andrews com o primeiro ministro shinzo hoje mais cedo paginaweb,0
a campanha continuaeducacaosemideologiadegenero paginaweb acesse e adquira dois livros de paginaweb,0
a cara da feia da vivian e da gorda da roberta sao as melhores coisas esse momento eh meu bbb17,1
a cara da gorda feia da roberta bbb17,1
accoes do pnr oeiras e cascais paginaweb portugal paginaweb,0
aceitei trocar o benfica por um jantar romantico com a minha namorada desde que ela pagasse a gasolina amanha la estarei na catedral,0
aceite os chifres joaquinresponde paginaweb,0
a censura democratica e a pior delas todas porque e arbitraria hipocrita e cobarde finge nao existir mas existe paginaweb,0
acham que ser bandido e ser machista to entendendo a logica feminista agora toda atitude de bandido cometido por paginaweb,0
achei essa pagina paginaweb,0
achei um cabelo branco sinto que os anos de tintura estao chegando,0
acho engracado que vcs falam mal do ustra mas idolatram che,0
acho ironico que uma mulher que ajudou a nasa a andar para a frente esteja numa cadeira de rodas oscars,1
acho mal que nao tenham metido a carreira da barbara guimaraes neste in memoriam oscars,0
acho mo engracado o galero que tenta chamar atencao fznd piadinha burra sobre o dia da mulher,0
acho muito legal as feministas que compartilham coisa do quebrando o tabu e chamam as outras de gorda feia e briga por macho parabens p vc,1
acho q a menina do restaurante da frente e sapatao kkkkkk fica me olhando,0
acho que agora ela se perdeu de vezkkkkkkkkk que do paginaweb,0
acho que a morango tem um ceu so pra ela rsrs nomeusuario nomeusuario nossa eu to em sampa aqui n b vista ta nubladim e meio frio,0
acho que a simone depende mais do natal pra sobreviver que o papai noel,1
